age,job,marital,education,default,balance,housing,loan,day_of_week,month,duration,campaign,pdays,previous,y
40,management,single,tertiary,no,4,no,no,25,mar,172,1,-1,0,no
31,technician,married,secondary,no,720,yes,no,23,jul,165,3,-1,0,no
45,management,married,tertiary,no,154,yes,yes,29,nov,261,1,-1,0,no
42,management,married,tertiary,no,17,no,no,29,aug,105,2,-1,0,no
48,retired,married,secondary,no,753,no,no,20,aug,303,1,197,1,yes
58,technician,married,secondary,no,629,yes,no,4,feb,310,2,238,5,no
51,admin.,married,secondary,no,787,no,no,14,may,268,5,-1,0,no
49,management,married,tertiary,no,249,no,no,7,may,168,5,-1,0,no
29,management,married,tertiary,no,71,no,yes,17,jul,153,3,-1,0,no
39,technician,married,secondary,no,315,yes,no,21,aug,767,2,-1,0,no
33,technician,single,tertiary,no,222,yes,no,24,nov,137,1,-1,0,no
49,services,married,secondary,no,30,no,no,23,jun,210,2,-1,0,no
60,admin.,married,secondary,no,-2,no,no,31,nov,127,1,-1,0,no
57,retired,married,secondary,no,526,no,no,8,may,162,1,-1,0,no
48,management,married,tertiary,no,497,no,no,6,jun,73,1,-1,0,no
46,management,married,tertiary,no,230,no,no,15,jun,158,3,-1,0,no
46,management,married,tertiary,no,527,yes,no,12,jun,145,3,-1,0,no
35,services,married,secondary,no,349,yes,no,20,may,117,2,-1,0,no
34,admin.,married,secondary,no,792,no,no,3,jun,273,1,-1,0,no
42,blue-collar,married,secondary,no,701,no,no,25,jul,196,5,-1,0,no
28,entrepreneur,single,tertiary,no,484,no,no,19,nov,129,2,-1,0,no
43,housemaid,married,secondary,no,-2,yes,no,16,jun,44,25,-1,0,no
45,admin.,married,secondary,no,2426,yes,no,16,may,605,1,-1,0,yes
33,retired,married,tertiary,no,2840,yes,no,28,may,586,1,-1,0,yes
35,services,married,secondary,no,-188,yes,no,27,jul,110,5,-1,0,no
45,self-employed,married,tertiary,no,-578,no,no,19,jun,392,1,-1,0,yes
48,management,married,secondary,no,202,yes,no,14,may,30,1,351,1,no
30,admin.,married,secondary,no,527,yes,yes,15,jul,153,1,-1,0,no
32,admin.,single,secondary,no,81,no,no,31,jul,495,1,-1,0,no
22,management,single,tertiary,no,601,yes,no,5,aug,217,5,-1,0,no
38,admin.,married,secondary,no,-29,yes,no,22,may,176,1,-1,0,no
35,management,married,tertiary,no,1779,no,no,7,jul,187,1,-1,0,no
37,housemaid,married,secondary,no,369,no,no,4,jun,537,1,-1,0,no
37,blue-collar,married,secondary,no,107,yes,no,23,jul,330,3,-1,0,no
32,admin.,single,secondary,no,-37,yes,no,13,may,677,2,-1,0,yes
32,services,married,secondary,no,712,yes,no,15,jun,194,3,-1,0,no
37,management,married,tertiary,no,88,yes,no,9,jul,112,2,-1,0,no
34,self-employed,single,tertiary,no,2314,yes,no,24,jul,116,1,-1,0,no
45,housemaid,married,secondary,no,-75,yes,no,11,jun,127,2,-1,0,no
36,management,married,tertiary,no,2264,no,no,16,nov,128,2,183,1,no
42,admin.,married,secondary,no,18,no,yes,18,jul,46,5,-1,0,no
36,admin.,married,secondary,no,808,yes,no,14,may,80,3,-1,0,no
44,management,married,tertiary,no,48,yes,no,4,apr,318,1,162,4,no
26,admin.,single,secondary,no,5,no,no,3,jun,458,5,-1,0,no
35,blue-collar,married,primary,no,563,yes,no,3,jun,99,2,-1,0,no
40,services,single,secondary,no,2457,no,no,28,may,654,1,-1,0,yes
50,retired,married,secondary,no,737,no,no,29,apr,203,3,-1,0,no
29,admin.,single,secondary,no,-83,yes,yes,9,may,496,1,-1,0,no
51,management,married,tertiary,no,2366,yes,no,7,may,252,1,-1,0,no
24,management,single,tertiary,no,144,no,no,23,nov,122,1,-1,0,no
32,services,single,secondary,no,223,no,no,30,jan,298,2,-1,0,no
33,blue-collar,married,secondary,no,188,yes,no,4,jun,182,5,-1,0,no
40,admin.,married,secondary,no,-84,yes,no,31,jul,89,15,-1,0,no
27,services,single,secondary,no,299,yes,no,15,may,835,5,-1,0,no
34,technician,married,secondary,no,-8,no,no,19,nov,180,5,-1,0,no
27,admin.,single,secondary,no,30,no,no,29,jan,179,2,-1,0,no
48,admin.,married,secondary,no,536,no,no,6,jun,260,2,-1,0,no
37,management,married,secondary,no,60,yes,no,17,may,303,8,-1,0,no
49,management,married,tertiary,no,-35,yes,no,11,may,35,5,-1,0,no
27,management,single,tertiary,no,3636,yes,no,16,may,501,1,-1,0,yes
41,blue-collar,married,primary,no,461,yes,no,6,may,272,1,-1,0,no
29,management,single,tertiary,no,480,yes,no,13,may,198,5,-1,0,no
47,technician,married,secondary,no,1788,no,no,6,may,693,1,-1,0,yes
26,management,single,tertiary,no,263,no,no,21,apr,91,1,-1,0,no
51,blue-collar,married,primary,no,34,yes,no,14,may,149,2,-1,0,no
49,management,married,tertiary,no,-438,yes,no,15,may,177,1,-1,0,no
35,services,single,secondary,no,127,yes,no,13,may,368,1,-1,0,no
41,blue-collar,married,secondary,no,-2,yes,no,20,apr,187,2,322,1,no
44,entrepreneur,married,secondary,no,735,yes,no,20,apr,549,1,-1,0,no
39,technician,married,secondary,no,4732,no,no,19,nov,269,1,-1,0,yes
34,entrepreneur,married,secondary,no,592,yes,no,9,jul,74,3,-1,0,no
32,blue-collar,single,secondary,no,307,yes,no,7,may,496,2,345,1,no
50,management,married,tertiary,no,-71,yes,yes,29,jul,276,2,-1,0,no
55,blue-collar,married,secondary,no,290,no,no,20,aug,127,1,-1,0,no
52,self-employed,married,secondary,no,2688,no,no,20,nov,18,7,187,7,no
40,management,married,tertiary,no,36,yes,no,3,jul,159,4,-1,0,no
49,unemployed,married,secondary,no,583,no,no,5,jun,220,2,-1,0,no
42,entrepreneur,married,secondary,no,32,yes,no,4,jul,173,1,-1,0,no
38,management,married,tertiary,no,535,no,no,1,jun,134,1,-1,0,no
42,technician,married,secondary,no,285,no,no,23,jun,471,1,-1,0,no
58,retired,married,secondary,no,1478,no,no,28,nov,169,1,133,1,no
40,management,married,secondary,no,70,yes,no,13,may,321,2,358,1,no
46,blue-collar,married,primary,no,45,no,no,3,jul,152,2,-1,0,no
34,technician,married,secondary,no,9,yes,no,22,jul,311,4,-1,0,no
54,services,married,secondary,no,150,yes,no,19,nov,160,1,-1,0,no
37,blue-collar,married,primary,no,56,yes,yes,7,jul,90,1,-1,0,no
50,technician,married,secondary,no,397,no,no,14,jul,112,7,-1,0,no
35,management,married,tertiary,no,204,yes,no,21,jan,153,2,186,7,no
32,technician,single,tertiary,no,181,no,no,23,oct,158,2,-1,0,no
52,technician,married,secondary,no,127,yes,no,28,may,165,9,-1,0,no
39,blue-collar,married,secondary,no,847,yes,no,15,may,48,2,-1,0,no
30,blue-collar,single,secondary,no,633,no,no,12,jun,133,1,-1,0,no
35,admin.,married,secondary,no,562,no,no,20,nov,144,1,-1,0,no
58,admin.,married,secondary,no,588,yes,no,28,may,156,5,-1,0,no
35,blue-collar,married,primary,no,77,yes,no,7,jul,123,2,-1,0,no
55,,married,secondary,no,909,no,no,11,jul,372,3,-1,0,no
44,blue-collar,married,secondary,no,454,yes,no,8,may,63,5,-1,0,no
40,admin.,married,secondary,no,236,yes,no,1,feb,216,1,137,4,no
30,blue-collar,married,primary,no,209,yes,no,13,may,175,1,-1,0,no
34,admin.,single,secondary,no,27,no,no,10,jun,99,1,-1,0,no
32,management,single,tertiary,no,108,yes,no,15,jul,761,5,-1,0,yes
40,admin.,married,secondary,no,965,yes,no,31,jul,80,2,-1,0,no
41,housemaid,married,secondary,no,644,no,no,20,aug,268,5,-1,0,no
44,services,married,secondary,no,13,yes,no,6,jun,146,2,-1,0,no
52,blue-collar,married,secondary,no,265,yes,no,7,jul,106,1,-1,0,no
29,management,single,tertiary,no,361,yes,no,31,jul,608,3,-1,0,no
51,technician,married,secondary,no,422,yes,no,21,may,179,1,-1,0,no
27,management,single,tertiary,no,673,no,no,23,jan,456,4,-1,0,no
51,admin.,married,secondary,no,861,no,no,1,apr,247,2,-1,0,no
40,blue-collar,married,secondary,no,384,yes,no,14,jul,636,1,-1,0,yes
34,admin.,single,secondary,no,4095,no,no,23,apr,163,1,-1,0,yes
23,student,single,secondary,no,481,no,yes,9,apr,238,2,-1,0,no
51,self-employed,married,secondary,no,297,yes,no,19,may,220,2,-1,0,no
44,technician,married,secondary,no,65,yes,no,10,may,132,5,-1,0,no
22,technician,single,secondary,no,749,no,no,11,aug,129,3,104,2,no
33,admin.,single,secondary,no,148,no,no,7,jun,172,1,-1,0,no
38,management,married,tertiary,no,378,no,no,5,jun,182,1,-1,0,no
38,blue-collar,married,secondary,no,-189,yes,no,21,nov,102,2,-1,0,no
44,housemaid,married,secondary,no,-2,no,no,15,apr,286,3,-1,0,no
48,entrepreneur,married,secondary,no,-25,yes,no,8,jul,226,1,-1,0,no
46,services,married,secondary,no,-56,yes,yes,21,jul,455,1,-1,0,no
46,blue-collar,married,primary,no,253,yes,no,15,may,302,3,-1,0,no
60,retired,married,secondary,no,323,yes,no,21,may,91,4,-1,0,no
37,technician,married,secondary,no,241,yes,no,20,nov,323,1,75,4,no
30,technician,married,secondary,no,673,yes,no,18,apr,231,6,-1,0,no
41,self-employed,married,tertiary,no,321,yes,no,25,nov,293,2,-1,0,no
45,blue-collar,married,primary,no,429,yes,no,2,jun,161,5,-1,0,no
37,entrepreneur,married,tertiary,no,618,no,no,12,jun,124,1,-1,0,no
47,management,married,tertiary,no,3973,yes,no,4,jun,232,5,-1,0,no
30,technician,single,secondary,no,466,yes,no,21,jul,284,1,-1,0,no
48,admin.,married,secondary,no,23,no,yes,29,jul,219,1,-1,0,no
35,management,married,tertiary,no,606,yes,no,8,may,155,1,-1,0,no
41,admin.,married,secondary,no,607,yes,no,15,may,156,3,-1,0,no
44,blue-collar,married,secondary,no,2157,no,no,26,may,500,2,-1,0,no
33,admin.,single,secondary,no,75,yes,no,2,jun,169,1,-1,0,no
28,technician,single,secondary,no,-301,yes,no,23,may,92,2,-1,0,no
38,self-employed,married,secondary,no,517,no,no,7,jul,53,5,-1,0,no
22,student,single,secondary,no,317,yes,no,31,jul,138,1,-1,0,no
51,entrepreneur,married,secondary,no,315,no,no,19,jun,163,8,-1,0,no
45,management,married,tertiary,no,3687,no,no,19,nov,40,1,144,1,no
42,technician,married,secondary,no,-14,yes,no,30,jul,130,3,-1,0,no
30,self-employed,single,tertiary,no,168,yes,no,7,apr,97,1,176,1,no
42,services,married,secondary,no,445,yes,no,27,apr,47,3,-1,0,no
39,unemployed,married,secondary,no,1128,no,no,18,jun,139,3,-1,0,no
41,management,married,tertiary,no,1418,yes,no,9,may,338,1,-1,0,yes
57,technician,married,secondary,no,560,yes,no,12,may,603,2,178,1,no
44,unemployed,married,secondary,no,2470,no,no,21,oct,290,1,-1,0,yes
38,services,married,secondary,no,544,yes,no,8,feb,305,1,287,4,yes
40,admin.,married,secondary,no,814,yes,no,14,may,133,1,-1,0,no
49,blue-collar,married,primary,no,1100,no,no,18,nov,922,3,-1,0,no
33,entrepreneur,married,tertiary,no,1,yes,no,26,jul,165,2,-1,0,no
45,admin.,married,secondary,no,715,yes,no,15,may,493,5,-1,0,no
35,entrepreneur,single,tertiary,no,1152,yes,no,29,may,679,4,-1,0,no
49,admin.,married,secondary,no,-21,no,no,11,jun,177,5,-1,0,no
35,admin.,married,secondary,no,27,no,no,8,jun,88,5,-1,0,no
50,entrepreneur,married,secondary,no,505,yes,no,24,jun,58,8,-1,0,no
35,management,married,tertiary,no,698,yes,no,9,jun,466,3,-1,0,no
36,management,married,tertiary,no,260,yes,no,6,may,235,2,325,6,no
52,technician,married,secondary,no,641,yes,no,2,jun,94,7,-1,0,no
48,technician,married,secondary,no,1053,no,no,8,apr,73,1,-1,0,no
40,services,married,secondary,no,3555,no,no,2,may,165,1,-1,0,no
38,blue-collar,married,primary,no,554,yes,no,6,may,109,5,353,4,no
49,retired,married,tertiary,no,606,no,no,22,jun,277,3,-1,0,no
34,management,married,tertiary,no,342,no,no,21,nov,245,1,-1,0,no
56,retired,married,secondary,no,532,yes,no,14,may,520,2,-1,0,no
50,blue-collar,married,secondary,no,592,yes,no,2,jun,75,5,-1,0,no
39,technician,married,secondary,no,-256,yes,no,28,may,289,3,-1,0,no
36,technician,single,secondary,no,859,no,no,14,oct,704,1,116,2,yes
42,technician,married,secondary,no,727,no,no,17,nov,150,2,-1,0,no
22,student,single,secondary,no,716,no,no,2,sep,177,1,-1,0,yes
38,services,married,secondary,no,744,yes,no,3,jun,405,2,-1,0,no
39,technician,married,secondary,no,-401,no,no,23,jun,152,3,-1,0,no
38,admin.,married,secondary,no,72,yes,no,11,apr,286,2,-1,0,no
41,blue-collar,married,secondary,no,-272,yes,no,21,nov,456,3,-1,0,no
36,blue-collar,married,secondary,no,791,yes,no,7,may,204,4,-1,0,no
53,services,married,secondary,no,686,yes,no,20,apr,56,6,-1,0,no
30,admin.,single,secondary,no,55,yes,no,18,may,357,1,383,1,no
29,student,single,tertiary,no,410,no,no,30,jul,225,5,-1,0,no
25,blue-collar,single,secondary,no,678,yes,no,28,may,203,2,253,1,no
37,management,married,tertiary,no,421,yes,no,7,apr,471,2,264,1,no
31,admin.,married,secondary,no,-112,yes,no,11,jun,99,1,-1,0,no
34,services,single,secondary,no,358,no,no,20,aug,168,1,-1,0,no
33,blue-collar,married,primary,no,242,yes,yes,18,apr,76,1,-1,0,no
40,services,married,secondary,no,239,yes,no,17,may,184,2,-1,0,no
46,management,married,tertiary,no,719,yes,no,30,apr,250,2,244,6,no
34,housemaid,married,tertiary,no,524,no,no,25,jun,175,4,-1,0,no
22,technician,single,secondary,no,490,no,no,21,nov,295,1,-1,0,yes
49,management,married,tertiary,no,91,no,no,23,jul,246,1,-1,0,no
39,management,married,tertiary,no,129,yes,no,23,nov,238,1,-1,0,no
39,blue-collar,married,primary,no,597,no,yes,9,jul,56,9,-1,0,no
29,admin.,single,secondary,no,276,no,no,29,jan,164,5,-1,0,yes
37,technician,married,secondary,no,543,yes,no,22,nov,149,2,101,6,no
43,self-employed,married,tertiary,no,588,yes,no,10,aug,56,1,192,1,no
49,retired,married,tertiary,no,2516,no,no,21,oct,99,1,-1,0,no
29,admin.,single,secondary,no,1103,yes,no,7,may,142,2,357,6,no
47,services,married,secondary,no,504,yes,no,29,apr,197,1,267,1,no
62,retired,married,secondary,no,752,yes,no,21,jul,577,6,-1,0,no
57,services,married,secondary,no,293,yes,no,5,jun,111,2,-1,0,no
33,technician,married,secondary,no,-133,no,no,5,jun,176,1,-1,0,no
57,technician,married,secondary,no,738,yes,yes,28,jul,38,1,-1,0,no
46,self-employed,married,secondary,no,-91,no,no,20,nov,119,1,-1,0,no
28,technician,single,secondary,no,352,yes,no,26,may,386,1,-1,0,no
55,retired,married,secondary,no,892,yes,no,6,may,154,1,-1,0,no
42,technician,married,secondary,no,407,no,no,15,apr,282,2,-1,0,no
24,management,single,tertiary,no,10,yes,no,17,jun,307,2,-1,0,no
30,admin.,married,secondary,no,20,yes,no,18,may,218,8,-1,0,no
35,blue-collar,married,secondary,no,223,yes,no,6,may,430,3,335,1,no
35,admin.,married,secondary,no,528,yes,no,15,may,137,4,-1,0,no
40,unemployed,married,secondary,no,-1,no,no,26,jul,343,2,-1,0,no
29,blue-collar,single,primary,no,3012,yes,no,21,nov,372,1,73,1,no
54,management,married,tertiary,no,4938,no,no,21,nov,195,2,-1,0,no
31,admin.,single,secondary,no,420,no,no,11,jun,399,3,-1,0,no
35,management,married,tertiary,no,479,yes,no,4,aug,439,1,-1,0,no
46,management,married,tertiary,no,93,no,no,20,nov,132,4,-1,0,no
58,retired,married,tertiary,no,1106,yes,no,28,may,425,1,-1,0,yes
35,admin.,single,secondary,no,511,no,no,29,may,231,1,-1,0,no
56,management,married,tertiary,no,435,yes,no,24,aug,567,2,-1,0,no
29,technician,single,secondary,no,28,yes,no,20,may,238,1,-1,0,no
53,blue-collar,married,secondary,no,658,yes,no,20,nov,108,5,-1,0,no
47,blue-collar,married,primary,no,295,yes,no,12,may,138,5,-1,0,no
42,admin.,married,secondary,no,758,yes,no,16,may,193,1,-1,0,no
49,housemaid,married,secondary,no,176,yes,no,20,aug,86,7,-1,0,no
57,technician,married,secondary,no,-344,yes,no,15,jun,173,2,-1,0,no
56,retired,married,tertiary,no,1060,no,no,9,jul,135,1,-1,0,yes
44,admin.,married,secondary,no,-1,no,no,20,jun,132,1,-1,0,no
34,technician,single,tertiary,no,-11,no,no,9,sep,38,2,90,1,no
49,technician,married,secondary,no,4849,no,no,2,jun,115,1,-1,0,no
47,management,married,secondary,no,-57,yes,yes,28,jul,155,12,-1,0,no
57,management,divorced,tertiary,no,1761,yes,no,18,may,149,2,-1,0,no
55,management,married,tertiary,no,563,no,no,11,jul,151,4,-1,0,no
23,blue-collar,single,secondary,no,370,yes,no,9,jul,148,7,-1,0,no
34,technician,married,tertiary,no,513,yes,no,4,may,343,1,284,5,no
44,blue-collar,married,primary,no,30,yes,no,21,nov,158,1,180,2,no
54,management,married,tertiary,no,1123,no,no,15,jun,159,2,-1,0,no
46,entrepreneur,married,secondary,no,224,yes,no,6,may,282,2,301,6,no
47,technician,married,secondary,no,882,no,no,5,jun,135,7,-1,0,no
67,blue-collar,married,secondary,no,387,no,no,14,aug,491,5,-1,0,no
20,student,single,secondary,no,915,no,no,22,jan,160,2,189,2,no
34,admin.,married,secondary,no,107,no,no,5,jun,132,2,-1,0,no
39,entrepreneur,married,tertiary,no,2028,yes,no,17,nov,231,1,-1,0,no
55,retired,married,secondary,no,1004,no,no,20,jan,178,2,195,2,no
40,entrepreneur,married,tertiary,no,291,yes,no,6,may,88,2,-1,0,no
48,services,married,secondary,no,519,yes,no,5,may,593,1,-1,0,no
30,management,single,tertiary,no,-230,no,no,5,may,371,1,-1,0,no
26,blue-collar,single,secondary,no,45,yes,no,20,may,371,1,-1,0,no
39,entrepreneur,married,secondary,no,306,yes,no,4,jun,909,2,-1,0,yes
38,technician,married,secondary,no,383,no,no,20,aug,134,1,197,1,no
52,management,married,tertiary,no,112,no,no,17,jun,68,8,-1,0,no
81,management,married,tertiary,no,5,no,no,21,nov,136,10,-1,0,no
35,services,married,secondary,no,395,no,no,17,nov,384,3,223,6,no
34,management,married,tertiary,no,427,yes,no,5,feb,187,3,287,1,no
38,self-employed,married,tertiary,no,310,no,no,28,jun,188,5,-1,0,no
51,admin.,married,secondary,no,462,yes,no,13,may,56,2,334,1,no
37,management,married,tertiary,no,759,no,no,3,sep,286,1,184,1,yes
37,management,single,tertiary,no,4166,yes,no,30,apr,494,2,134,7,no
60,admin.,married,secondary,no,5440,no,no,17,nov,179,1,79,1,no
32,admin.,single,secondary,no,77,yes,no,6,apr,208,1,265,1,no
34,self-employed,married,secondary,no,247,yes,no,14,apr,41,10,-1,0,no
32,blue-collar,married,secondary,no,1291,yes,no,24,oct,478,1,-1,0,yes
29,management,single,tertiary,no,181,yes,no,21,nov,114,1,-1,0,no
44,technician,married,secondary,no,358,yes,yes,18,nov,374,3,189,2,no
56,blue-collar,married,primary,no,678,no,no,4,jul,66,3,-1,0,no
55,housemaid,married,primary,no,371,no,no,8,jul,391,2,-1,0,no
40,management,married,tertiary,no,386,yes,no,24,jul,135,2,-1,0,no
38,management,married,tertiary,no,1319,yes,no,6,nov,300,1,-1,0,yes
37,management,married,tertiary,no,765,yes,no,12,aug,692,1,-1,0,no
39,management,married,tertiary,no,488,yes,no,13,may,175,2,-1,0,no
35,unemployed,married,secondary,no,816,no,no,3,jun,229,1,-1,0,no
41,technician,married,secondary,no,12,no,no,10,jul,139,1,-1,0,no
33,technician,single,secondary,no,707,no,no,26,may,183,2,-1,0,no
42,blue-collar,married,secondary,no,39,no,yes,19,jun,198,1,-1,0,no
32,services,married,secondary,no,58,no,no,22,jun,275,2,-1,0,no
32,technician,single,secondary,no,182,yes,no,23,may,151,1,-1,0,no
45,blue-collar,married,secondary,no,358,yes,no,26,may,249,2,-1,0,no
33,blue-collar,married,secondary,no,-27,yes,no,4,may,420,5,-1,0,no
34,technician,married,secondary,no,461,yes,no,26,jul,127,3,-1,0,no
23,management,single,tertiary,no,603,yes,no,11,may,60,1,370,1,no
46,technician,married,secondary,no,462,no,no,14,jun,133,1,-1,0,no
37,self-employed,married,tertiary,no,1467,yes,no,20,jul,377,1,-1,0,yes
29,blue-collar,single,secondary,no,-26,yes,no,5,may,258,1,-1,0,no
48,management,married,tertiary,no,521,no,no,6,jun,135,2,-1,0,no
28,self-employed,single,secondary,no,-206,no,no,19,aug,300,13,-1,0,no
49,management,married,tertiary,no,417,yes,no,17,may,317,1,-1,0,no
45,management,married,tertiary,no,474,no,no,13,aug,150,1,194,4,yes
59,admin.,married,secondary,no,15,no,no,24,jun,112,5,-1,0,no
43,admin.,married,secondary,no,-131,no,no,14,jul,178,3,-1,0,no
30,management,single,tertiary,no,79,yes,no,20,dec,198,2,668,2,no
57,admin.,married,secondary,no,479,yes,no,3,jun,158,3,-1,0,no
48,technician,married,secondary,no,372,no,no,20,nov,571,2,-1,0,no
29,technician,single,secondary,no,54,yes,no,6,jun,150,2,-1,0,no
43,technician,married,secondary,no,-38,yes,no,6,jul,454,4,-1,0,no
42,self-employed,married,secondary,no,722,yes,no,6,may,116,4,-1,0,no
39,admin.,married,secondary,no,-192,no,yes,29,jul,240,2,-1,0,no
53,admin.,married,secondary,no,727,yes,no,2,feb,118,1,-1,0,no
39,management,married,secondary,no,374,no,no,4,feb,508,1,217,1,yes
37,unemployed,single,secondary,no,514,yes,no,7,may,323,1,-1,0,no
33,technician,single,tertiary,no,248,no,no,5,may,165,1,-1,0,no
34,management,single,tertiary,no,2290,no,no,20,nov,102,1,-1,0,no
30,self-employed,married,secondary,no,517,no,yes,9,jul,103,2,-1,0,no
54,management,married,tertiary,no,660,no,no,11,jun,56,4,-1,0,no
51,admin.,married,secondary,no,-23,no,no,7,jul,184,1,-1,0,no
28,entrepreneur,single,tertiary,no,319,yes,no,29,jul,687,8,-1,0,no
55,technician,married,secondary,no,658,yes,no,8,may,454,2,-1,0,no
46,technician,married,secondary,no,68,yes,no,6,feb,77,1,-1,0,no
29,admin.,single,secondary,no,390,no,no,11,jun,23,5,-1,0,no
57,retired,married,primary,no,-6,no,no,23,jul,93,4,-1,0,no
34,blue-collar,single,secondary,no,682,yes,no,5,may,225,1,-1,0,no
53,technician,married,secondary,no,-11,yes,no,26,may,49,5,-1,0,no
40,housemaid,married,secondary,no,63,no,no,25,jun,113,4,-1,0,no
57,services,married,secondary,no,6,yes,no,6,may,310,2,-1,0,no
38,self-employed,married,secondary,no,487,no,no,7,jun,261,2,-1,0,no
39,technician,married,secondary,no,768,yes,no,15,may,186,1,-1,0,no
25,management,single,tertiary,no,727,no,no,14,may,209,1,-1,0,no
57,blue-collar,married,primary,no,-1036,no,yes,2,nov,107,3,207,2,no
35,blue-collar,married,secondary,no,485,yes,no,9,jun,782,5,-1,0,yes
24,management,single,tertiary,no,719,yes,no,9,may,111,3,-1,0,no
39,management,married,tertiary,no,-424,yes,no,7,may,261,3,-1,0,no
22,management,single,tertiary,no,78,no,no,26,apr,271,1,-1,0,yes
37,unemployed,married,secondary,no,66,yes,no,17,may,143,2,-1,0,no
52,retired,married,secondary,no,87,no,no,21,may,206,1,-1,0,no
37,blue-collar,married,secondary,no,1110,yes,no,6,may,535,1,-1,0,yes
53,retired,married,secondary,no,828,no,no,19,may,327,3,-1,0,no
56,blue-collar,married,secondary,no,781,yes,no,7,may,135,1,-1,0,no
31,admin.,married,secondary,no,0,yes,no,4,jun,120,1,-1,0,no
32,blue-collar,married,secondary,no,503,no,yes,15,jul,181,1,-1,0,no
29,blue-collar,single,secondary,no,835,yes,no,7,may,304,1,-1,0,no
58,blue-collar,married,primary,no,2949,yes,no,16,jul,112,1,-1,0,no
40,admin.,married,secondary,no,315,yes,no,28,may,351,2,153,1,no
30,management,single,tertiary,no,163,no,no,11,aug,241,5,-1,0,no
34,blue-collar,married,secondary,no,581,no,no,11,jun,162,1,-1,0,no
34,services,married,secondary,no,314,no,no,21,nov,88,2,194,8,no
33,services,single,secondary,no,420,no,no,3,jun,159,1,-1,0,no
28,management,single,tertiary,no,-102,no,no,7,jul,494,2,-1,0,yes
56,retired,married,secondary,no,3,no,no,20,nov,310,2,-1,0,no
46,blue-collar,married,primary,no,598,yes,no,25,jul,219,7,-1,0,no
47,management,married,tertiary,no,254,no,no,22,nov,538,4,-1,0,no
36,management,married,tertiary,no,523,no,no,13,jun,400,2,-1,0,no
50,management,married,tertiary,no,-8,no,no,7,jun,115,2,-1,0,no
